Task Name,Resource Name,% Work Complete,Work,Units
Receive notice to proceed and sign contract,G.C. General Management,0,24h,100%
Submit bond and insurance documents,G.C. Project Management,0,16h,100%
Submit bond and insurance documents,G.C. General Management,0,4h,25%
Prepare and submit project schedule,G.C. Project Management,0,4h,25%
Prepare and submit project schedule,G.C. Scheduler,0,16h,100%
Prepare and submit schedule of values,G.C. General Management,0,1.6h,10%
Prepare and submit schedule of values,G.C. Project Management,0,16h,100%
Obtain building permits,G.C. Project Management,0,16h,50%
Obtain building permits,G.C. Procurement,0,16h,50%
Submit preliminary shop drawings,G.C. Project Management,0,40h,50%
Submit preliminary shop drawings,G.C. Procurement,0,40h,50%
Submit shop drawings and order long lead items - steel,Steel Erection Contractor Management,0,80h,100%
Submit shop drawings and order long lead items - roofing,Roofing Contractor Management,0,80h,100%
Submit shop drawings and order long lead items - elevator,Elevator Contractor Management,0,80h,100%
Submit shop drawings and order long lead items - plumbing,Plumbing Contractor Management,0,80h,100%
Submit shop drawings and order long lead items - electric,Electric Contractor Management,0,80h,100%
Submit shop drawings and order long lead items - HVAC,HVAC Contractor Management,0,80h,100%
"Detail, fabricate and deliver steel",Steel Erection Contractor Management,0,240h,50%
"Detail, fabricate and deliver steel",Steel Erection Contractor,0,240h,50%
Install temporary power,Electric Contractor,0,16h,100%
Install temporary water service,Plumbing Contractor,0,16h,100%
Set up site office,G.C. Superintendent,0,24h,100%
Set up site office,G.C. Labor Crew,0,2.4h,10%
Set line and grade benchmarks,G.C. Survey Crew,0,24h,100%
Prepare site - lay down yard and temporary fencing,Site Grading Contractor,0,16h,100%
Prepare site - lay down yard and temporary fencing,G.C. Labor Crew,0,1.6h,10%
Clear and grub site,Site Grading Contractor,0,24h,100%
Stone site access and temporary parking area,Site Grading Contractor,0,16h,100%
Rough grade site (cut and fill),Site Grading Contractor,0,40h,100%
Install storm drainage,Site Grading Contractor,0,80h,100%
Install exterior fire line and building fire riser,Plumbing Contractor,0,80h,100%
Perform final site grading,Site Grading Contractor,0,80h,100%
Erect building batter boards and layout building,G.C. Survey Crew,0,40h,100%
Excavate foundations,Site Grading Contractor,0,40h,50%
Excavate elevator pit,Site Grading Contractor,0,16h,100%
Form column piers and spread foundations,G.C. Rough Carpenter Crew,0,32h,100%
Rough-in electric and plumbing in elevator,Plumbing Contractor,0,32h,100%
Rough-in electric and plumbing in elevator,Electric Contractor,0,32h,100%
Form elevator pit walls,G.C. Rough Carpenter Crew,0,32h,100%
Set reinforcing and anchor bolts,G.C. Rough Carpenter Crew,0,32h,100%
Pour column piers and foundations,G.C. Concrete Crew,0,40h,100%
